trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1055,False,"{'a': 0.5, 'e': 0.4932277302099105}",30,0,-102.65744046581332,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
1056,False,"{'a': 0.5, 'e': 0.4923575835133495}",30,16,-7.630692257224994,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1057,False,"{'a': 0.5, 'e': 0.49148694445924623}",20,16,9.510411325319922,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1058,False,"{'a': 0.5, 'e': 0.4906158139182393}",25,2,-17.29252241545537,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
1059,False,"{'a': 0.5, 'e': 0.4897441927614595}",20,10,-2.6185655604176663,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1060,False,"{'a': 0.5, 'e': 0.4888720818605275}",20,11,3.636103140289739,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1061,False,"{'a': 0.5, 'e': 0.4879994820875546}",25,8,-57.87834392330458,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
1062,False,"{'a': 0.5, 'e': 0.48712639431514015}",30,7,-0.8012618166966012,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
1063,False,"{'a': 0.5, 'e': 0.4862528194163721}",20,3,-36.75816117040841,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
1064,False,"{'a': 0.5, 'e': 0.485378758264825}",30,13,-31.804080994368473,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
1065,False,"{'a': 0.5, 'e': 0.48450421173456026}",30,0,-16.451897230720945,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",1
1066,False,"{'a': 0.5, 'e': 0.483629180700124}",20,9,6.911761778826136,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1067,False,"{'a': 0.5, 'e': 0.4827536660365475}",20,2,-45.62861227581956,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
1068,False,"{'a': 0.5, 'e': 0.481877668619345}",20,0,-93.75213233948874,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
1069,False,"{'a': 0.5, 'e': 0.48100118932451424}",20,0,-1.1991858539782003,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1070,False,"{'a': 0.5, 'e': 0.4801242290285341}",20,0,-79.67284354861006,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
1071,False,"{'a': 0.5, 'e': 0.47924678860836506}",20,0,-17.269476565231606,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
